City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,sao jose da coroa grande,-8.8978,-35.1478,24.56,85,7,3.58,BR,1689460325
258,sur,22.5667,59.5289,29.69,65,11,4.65,OM,1689459930
259,necochea,-38.5473,-58.7368,7.53,67,4,7.78,AR,1689459884
260,haiku-pauwela,20.9219,-156.3051,29.01,54,40,11.32,US,1689460093
261,winnipeg,49.8844,-97.147,21.68,47,75,8.23,CA,1689459941
262,coquimbo,-29.9533,-71.3436,13.85,88,0,3.6,CL,1689459950
263,vernon,50.2581,-119.2691,36.07,17,81,1.03,CA,1689459890
264,sikonge,-5.6333,32.7667,17.52,46,0,1.57,TZ,1689460327
265,kodinsk,58.6881,99.1844,13.57,61,100,1.11,RU,1689459912
266,northam,51.0333,-4.2167,15.34,88,100,9.92,GB,1689459920
267,ocean city,39.2776,-74.5746,27.79,85,85,1.34,US,1689460243
268,rosetta,31.4044,30.4164,25.98,82,0,4.56,EG,1689460327
269,issia,6.4922,-6.5856,21.75,99,69,1.57,CI,1689460328
270,korsakov,46.6328,142.7813,14.91,88,100,5.9,RU,1689460328
271,talakan,50.3167,130.3667,15.76,93,100,1.81,RU,1689460329
272,darwin,-12.4611,130.8418,23.99,88,75,2.06,AU,1689460329
273,okha,53.5739,142.9478,15.64,66,69,3.85,RU,1689460329
274,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,6.69,EC,1689459853
275,belmonte,-15.8631,-38.8828,22.54,89,90,5.69,BR,1689460330
276,bamboo flat,11.7,92.7167,27.61,82,100,6.63,IN,1689459926
277,rurrenabaque,-14.4413,-67.5278,21.78,73,4,0.44,BO,1689460330
278,port-gentil,-0.7193,8.7815,21.98,94,20,4.12,GA,1689460077
279,tidjikja,18.5564,-11.4271,33.2,36,24,6.05,MR,1689460331
280,revda,56.801,59.9303,11.14,98,100,1.28,RU,1689460331
281,yoko,5.5333,12.3167,18.34,94,82,0.66,CM,1689460332
282,novyye lyady,58.0536,56.6039,13.58,96,100,1.66,RU,1689460332
283,freetown,8.484,-13.2299,25.27,84,24,2.79,SL,1689460332
284,abu dhabi,24.4667,54.3667,38.06,46,0,2.06,AE,1689460034
285,sao francisco do sul,-26.2433,-48.6381,12.95,100,20,1.03,BR,1689460333
286,aripuana,-9.1667,-60.6333,28.44,50,3,0.87,BR,1689459886
287,portland,45.5234,-122.6762,37.01,29,20,5.66,US,1689459834
288,dudinka,69.4058,86.1778,2.57,88,87,4.74,RU,1689460080
289,mimizan,44.2006,-1.2289,21.05,68,54,2.48,FR,1689460333
290,la malbaie,47.6575,-70.1559,19.34,85,95,2.17,CA,1689460143
291,hami,42.8,93.45,30.9,12,5,3.92,CN,1689460333
292,khandyga,62.6667,135.6,10.81,79,72,1.5,RU,1689459879
293,gorom-gorom,14.4439,-0.2361,28.88,60,76,8.09,BF,1689460334
294,berriane,32.8265,3.7669,32.45,9,0,2.58,DZ,1689460334
295,dryden,49.7833,-92.7503,18.16,55,75,3.09,CA,1689459947
296,yeppoon,-23.1333,150.7333,16.88,73,83,5.07,AU,1689459943
297,new norfolk,-42.7826,147.0587,12.73,77,100,5.16,AU,1689460057
298,cestos city,5.46,-9.5828,24.76,86,30,2.53,LR,1689460335
299,urengoy,65.9667,78.3667,9.62,75,67,3.43,RU,1689460043
300,katsuura,35.1333,140.3,27.01,88,100,9.09,JP,1689459852
301,aykhal,66.0,111.5,8.12,54,14,2.67,RU,1689460065
302,tura,25.5198,90.2201,23.48,92,100,2.47,IN,1689460055
303,anzio,41.4853,12.6179,27.29,83,0,0.95,IT,1689460336
304,henryetta,35.4398,-95.9819,30.97,43,66,3.54,US,1689460336
305,kapa'a,22.0752,-159.319,29.18,74,40,5.66,US,1689460337
306,kourou,5.1552,-52.6478,28.03,82,42,3.78,GF,1689460112
307,ashburton,-37.8626,145.0794,8.55,85,1,0.89,AU,1689460337
308,hadyach,50.3711,33.991,14.88,73,29,3.22,UA,1689460338
309,ashland,40.8167,-82.2665,23.83,95,98,2.58,US,1689460338
310,berezovyy,51.6667,135.7,21.58,54,100,1.38,RU,1689460338
311,sipalay,9.75,122.5,26.09,89,100,4.71,PH,1689460338
312,yuzhno-kurilsk,44.0306,145.8556,13.49,97,100,2.0,RU,1689460339
313,kelso,46.1468,-122.9084,36.89,40,0,4.63,US,1689460339
314,oistins,13.0667,-59.5333,28.05,83,40,6.69,BB,1689460202
315,cabo san lucas,22.8909,-109.9124,35.9,49,75,1.54,MX,1689459633
316,bel ombre,-4.6167,55.4167,25.91,83,40,4.63,SC,1689460339
317,susuman,62.7833,148.1667,20.06,70,97,3.31,RU,1689460061
318,remire-montjoly,4.9167,-52.2667,28.02,78,0,1.54,GF,1689460102
319,ubari,26.5921,12.7805,29.34,14,0,2.72,LY,1689460340
320,geraldton,-28.7667,114.6,4.23,81,0,5.14,AU,1689460120
321,cabedelo,-6.9811,-34.8339,26.37,85,3,5.39,BR,1689460340
322,pimenta bueno,-11.6725,-61.1936,26.16,50,1,1.38,BR,1689460341
323,kone,-21.0595,164.8658,21.48,53,14,4.04,NC,1689460070
324,kailua-kona,19.6406,-155.9956,28.49,76,40,5.14,US,1689460116
325,malango,-2.9627,119.9001,18.74,87,100,0.57,ID,1689460342
326,akureyri,65.6835,-18.0878,5.96,93,75,5.14,IS,1689459892
327,duba,27.3513,35.6901,31.42,48,0,0.83,SA,1689460342
328,palmer,42.1584,-72.3287,29.87,69,100,3.6,US,1689460055
329,nguigmi,14.2495,13.1092,29.67,57,61,4.56,NE,1689460118
330,tselinnoye,53.0833,85.6667,17.19,58,95,3.82,RU,1689460343
331,east london,-33.0153,27.9116,17.87,55,72,2.56,ZA,1689460065
332,sittwe,20.15,92.9,25.91,90,100,2.57,MM,1689459940
333,smara,26.7384,-11.6719,22.9,63,0,7.89,EH,1689460066
334,paripiranga,-10.6875,-37.8617,18.91,93,5,3.03,BR,1689460344
335,faya-largeau,17.9257,19.1043,34.95,11,46,2.88,TD,1689460344
336,tsiombe,-25.3,45.4833,16.09,71,0,2.62,MG,1689460078
337,flying fish cove,-10.4217,105.6791,23.82,94,100,5.66,CX,1689459896
338,dolni chiflik,42.9833,27.7167,22.12,86,0,0.89,BG,1689460345
339,topchikha,52.8192,83.1185,15.87,42,23,4.29,RU,1689460345
340,mili,6.0815,171.735,28.44,75,100,7.8,MH,1689460346
341,howard springs,-12.497,131.047,23.95,72,61,3.68,AU,1689460346
342,wum,6.3833,10.0667,18.04,95,55,2.02,CM,1689460346
343,itamaraca,-7.7478,-34.8256,27.03,86,3,3.97,BR,1689460347
344,onega,63.9061,38.1404,15.21,79,72,0.21,RU,1689459897
345,biscarrosse,44.3945,-1.1672,18.97,68,0,2.06,FR,1689460347
346,lityn,49.3251,28.0809,16.25,76,0,0.68,UA,1689460347
347,saipan,15.1355,145.701,30.39,100,20,6.69,MP,1689460095
348,camayenne,9.535,-13.6878,27.05,83,40,2.06,GN,1689460348
349,novodvinsk,64.4165,40.8122,15.13,76,97,1.78,RU,1689459869
350,urucara,-2.5364,-57.76,28.94,56,45,1.54,BR,1689460348
351,sassandra,4.95,-6.0833,24.13,92,35,2.71,CI,1689460348
352,letterkenny,54.95,-7.7333,13.02,95,100,6.72,IE,1689460349
353,hasaki,35.7333,140.8333,29.22,83,100,5.71,JP,1689460114
354,vorgashor,67.5833,63.95,9.28,73,30,0.91,RU,1689460045
355,zeya,53.75,127.2667,22.18,70,89,0.3,RU,1689459943
356,colonia,50.9333,6.95,22.2,69,0,5.66,DE,1689459568
357,verkhnevilyuysk,63.4453,120.3167,10.7,64,95,4.49,RU,1689460349
358,parauapebas,-6.0675,-49.9022,27.99,78,0,0.0,BR,1689460350
359,abraka,5.7902,6.1047,23.27,98,100,1.36,NG,1689460350
360,taunggyi,20.7833,97.0333,17.46,96,100,0.59,MM,1689460350
